NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
09052000	42370	48		Quilograma
09061100	42370	48		Quilograma
09061900	42370	48		Quilograma
09062000	42370	48		Quilograma
09071000	42370	48		Quilograma
09072000	42370	48		Quilograma
09081100	42370	48		Quilograma
09081200	42370	48		Quilograma
09082100	42370	48		Quilograma
09082200	42370	48		Quilograma
09083100	42370	48		Quilograma
09083200	42370	48		Quilograma
09092100	42370	48		Quilograma
09092200	42370	48		Quilograma
09093100	42370	48		Quilograma
09093200	42370	48		Quilograma
09096110	42370	48		Quilograma
09096120	42370	48		Quilograma
09096190	42370	48		Quilograma
09096210	42370	48		Quilograma
09096220	42370	48		Quilograma
09096290	42370	48		Quilograma
09101100	42370	48		Quilograma
09101200	42370	48		Quilograma
09102000	42370	48		Quilograma
09103000	42370	48		Quilograma
09109100	42370	48		Quilograma
09109900	42370	48		Quilograma
10011100	42370	48		Quilograma
10011900	42370	48		Quilograma
10019100	42370	48		Quilograma
10019900	42370	48		Quilograma
10021000	42370	48		Quilograma
10029000	42370	48		Quilograma
10031000	42370	48		Quilograma
10039010	42370	48		Quilograma
10039080	42370	48		Quilograma
10039090	42370	48		Quilograma
10041000	42370	48		Quilograma
10049000	42370	48		Quilograma
10051000	42370	48		Quilograma
10059010	42370	48		Quilograma
10059090	42370	48		Quilograma
10061010	42370	48		Quilograma
10061091	42370	48		Quilograma
10061092	42370	48		Quilograma
10062010	42370	48		Quilograma
10062020	42370	48		Quilograma
10063011	42370	48		Quilograma
10063019	42370	48		Quilograma
10063021	42370	48		Quilograma
10063029	42370	48		Quilograma
10064000	42370	48		Quilograma
10071000	42370	48		Quilograma
10079000	42370	48		Quilograma
10081010	42370	48		Quilograma
10081090	42370	48		Quilograma
10082110	42370	48		Quilograma
10082190	42370	48		Quilograma
10082910	42370	48		Quilograma
10082990	42370	48		Quilograma
10083010	42370	48		Quilograma
10083090	42370	48		Quilograma
10084010	42370	48		Quilograma
10084090	42370	48		Quilograma
10085010	42370	48		Quilograma
10085090	42370	48		Quilograma
10086010	42370	48		Quilograma
10086090	42370	48		Quilograma
10089010	42370	48		Quilograma
10089090	42370	48		Quilograma
11010010	42370	48		Quilograma
11010020	42370	48		Quilograma
11022000	42370	48		Quilograma
11029000	42370	48		Quilograma
11031100	42370	48		Quilograma
11031300	42370	48		Quilograma
11031900	42370	48		Quilograma
11032000	42370	48		Quilograma
11041200	42370	48		Quilograma
11041900	42370	48		Quilograma
11042200	42370	48		Quilograma
11042300	42370	48		Quilograma
11042900	42370	48		Quilograma
11043000	42370	48		Quilograma
11051000	42370	48		Quilograma
11052000	42370	48		Quilograma
11061000	42370	48		Quilograma
11062000	42370	48		Quilograma
11063000	42370	48		Quilograma
11071010	42370	48		Quilograma
11071020	42370	48		Quilograma
11072010	42370	48		Quilograma
11072020	42370	48		Quilograma
11081100	42370	48		Quilograma
11081200	42370	48		Quilograma
11081300	42370	48		Quilograma
11081400	42370	48		Quilograma
11081900	42370	48		Quilograma
11082000	42370	48		Quilograma
11090000	42370	48		Quilograma
12011000	42370	48		Quilograma
12019000	42370	720		Tonel Metr Liquida
12023000	42370	48		Quilograma
12024100	42370	48		Quilograma
12024200	42370	48		Quilograma
12030000	42370	48		Quilograma
12040010	42370	48		Quilograma
12040090	42370	48		Quilograma
12051010	42370	48		Quilograma
12051090	42370	48		Quilograma
12059010	42370	48		Quilograma
12059090	42370	48		Quilograma
12060010	42370	48		Quilograma
12060090	42370	48		Quilograma
12071010	42370	48		Quilograma
12071090	42370	48		Quilograma
12072100	42370	48		Quilograma
12072900	42370	48		Quilograma
12073010	42370	48		Quilograma
12073090	42370	48		Quilograma
12074010	42370	48		Quilograma
12074090	42370	48		Quilograma
12075010	42370	48		Quilograma
12075090	42370	48		Quilograma
12076010	42370	48		Quilograma
12076090	42370	48		Quilograma
12077010	42370	48		Quilograma
12077090	42370	48		Quilograma
12079110	42370	48		Quilograma
12079190	42370	48		Quilograma
12079910	42370	48		Quilograma
12079990	42370	48		Quilograma
12081000	42370	48		Quilograma
12089000	42370	48		Quilograma
12091000	42370	48		Quilograma
12092100	42370	48		Quilograma
12092200	42370	48		Quilograma
12092300	42370	48		Quilograma
12092400	42370	48		Quilograma
12092500	42370	48		Quilograma
